citationId,sourceId,locator,boundedContext,sourceFact,subjectAlignment,claimAlignment
CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_PERSONALITY_ID_001,SRC_R01_B01_001,Physical Description,In full plumage the male raises paired sail feathers vertically above the back and carries a conspicuous crest and eye stripe.,The species uses highly visible structural plumage in breeding presentation.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_BROAD_001,SRC_R01_B01_001,Habitat,Mandarin ducks live in forests of China and Japan and prefer wooded ponds and fast-flowing rocky streams.,Natural habitat combines forest and freshwater.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_AIX_GALERICULATA_TERRAIN_SPECIFIC_001,SRC_R01_B01_001,Habitat,The exact account names wooded ponds and fast-flowing rocky streams.,"Specific habitats include woodland, lakes or ponds, and rivers.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ALCA_TORDA_PERSONALITY_001,SRC_R01_B01_002,"Behavior, lines 116-124",The exact-species account reports common mutual preening between pairs and identifies the species as colonial.,Razorbill pairs commonly engage in mutual allopreening.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_BROAD_001,SRC_R01_B01_002,"Habitat, lines 48-55",The account places breeding colonies on rocky coastal cliffs and offshore islands with immediate sea access.,Razorbills breed in rocky coastal cliff and offshore-island habitat.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ALCA_TORDA_TERRAIN_SPECIFIC_001,SRC_R01_B01_002,"Habitat, lines 48-55","Breeding locations include cliff faces, rock crevices, and ledges in rocky coastal regions.",Coastal cliffs and ledges are exact breeding habitat for razorbills.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_PERSONALITY_ID_001,SRC_R01_B01_003,Behavior,"After breeding, mallards form flocks and migrate from northern latitudes to warmer southern areas until breeding begins again.",The species carries out organized seasonal migration in flocks.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_BROAD_001,SRC_R01_B01_003,Habitat,"Mallards most often prefer wetlands and also occupy lakes, ponds, rivers, streams, and coastal waters.","Natural habitat includes wetlands, freshwater, and coastal waters.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANAS_PLATYRHYNCHOS_TERRAIN_SPECIFIC_001,SRC_R01_B01_003,Habitat,"The account lists lakes and ponds, rivers and streams, and coastal habitat.","Specific habitat includes lakes, ponds, and rivers.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_PERSONALITY_ID_001,SRC_R01_B01_004,Behavior,"When an intruder enters occupied territory, resident horned screamers gang up and act together against it.",Residents coordinate group defense against intruders.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_BROAD_001,SRC_R01_B01_004,Habitat,"Horned screamers live around freshwater lakes, ponds, rivers, marshes, and swamps in open tropical country.","Natural habitat spans freshwater, wetland, and grassland.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANHIMA_CORNUTA_TERRAIN_SPECIFIC_001,SRC_R01_B01_004,Habitat,"The account names lakes, ponds, rivers, marshes, swamps, and savanna-like open habitat.","Specific habitats include lake, pond, river, marsh, swamp, and savanna.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_PERSONALITY_001,SRC_R01_B01_005,Reproduction and parental investment,"The exact-species account reports shared incubation and a ritualized mate exchange involving vocalizing, neck-stretching, and nest material.",Anhinga parents share and ritualize incubation duty at the nest.,EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_BROAD_001,SRC_R01_B01_005,Habitat,The account identifies freshwater and coastal aquatic habitat with wooded shores or islands.,"Anhingas use freshwater, wetland, and coastal aquatic systems.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
CIT_JRN_R01_B01_SPC_ANHINGA_ANHINGA_TERRAIN_SPECIFIC_001,SRC_R01_B01_005,Habitat,"Named habitats include lakes, marshes, swamps, mangrove swamps, shallow coastal bays, and lagoons.","Lake, marsh, swamp, mangrove, and estuarine settings are supported exact habitats.",EXACT_SPECIES,ACCEPTED_DIRECT_EVIDENCE
