policyRef,personalityId,family,expression,reviewed,reviewRationale,overrides
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_CURSE_EXCUSE_CONFLICT,ACCOUNTABILITY,CURSE_EXCUSE,true,"CURSE_EXCUSE was reviewed against all twelve ACCOUNTABILITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_DENIED_HARM_WOUND,ACCOUNTABILITY,DENIED_HARM,true,DENIED_HARM was reviewed against all twelve ACCOUNTABILITY base dimensions. the expression foregrounds expected deprivation or unresolved harm. Only material differences are overridden.,"{""outlookOrientation"":{""value"":""PESSIMISTIC"",""rationale"":""DENIED_HARM differs from ACCOUNTABILITY's base because the expression foregrounds expected deprivation or unresolved harm; PESSIMISTIC makes that difference operational without changing unrelated fields.""}}"
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_ERROR_CORRECTION_EXPRESSION,ACCOUNTABILITY,ERROR_CORRECTION,true,"ERROR_CORRECTION was reviewed against all twelve ACCOUNTABILITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ACCOUNTABILITY_SCAPEGOAT_WOUND,ACCOUNTABILITY,SCAPEGOAT,true,"SCAPEGOAT was reviewed against all twelve ACCOUNTABILITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_BETWEEN_STATES_CONFLICT,AMBIGUITY,BETWEEN_STATES,true,"BETWEEN_STATES was reviewed against all twelve AMBIGUITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_BLESSING_CURSE_CONFLICT,AMBIGUITY,BLESSING_CURSE,true,"BLESSING_CURSE was reviewed against all twelve AMBIGUITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_CONTEXT_SHIFTING_SIGNAL_EXPRESSION,AMBIGUITY,CONTEXT_SHIFTING_SIGNAL,true,CONTEXT_SHIFTING_SIGNAL was reviewed against all twelve AMBIGUITY base dimensions. the expression specifically depends on conspicuous signaling. Only material differences are overridden.,{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_FRAGMENTED_RECORD_WOUND,AMBIGUITY,FRAGMENTED_RECORD,true,"FRAGMENTED_RECORD was reviewed against all twelve AMBIGUITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_MIXED_STRATEGY_EXPRESSION,AMBIGUITY,MIXED_STRATEGY,true,"MIXED_STRATEGY was reviewed against all twelve AMBIGUITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_ROLE_FLUID_EXPRESSION,AMBIGUITY,ROLE_FLUID,true,"ROLE_FLUID was reviewed against all twelve AMBIGUITY base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,AMBIGUITY_UNFIXED_FORM_CONFLICT,AMBIGUITY,UNFIXED_FORM,true,UNFIXED_FORM was reviewed against all twelve AMBIGUITY base dimensions. the expression materially rejects stable structure. Only material differences are overridden.,{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_CONTAINED_FURY_CONFLICT,ANGER,CONTAINED_FURY,true,CONTAINED_FURY was reviewed against all twelve ANGER base dimensions. the expression foregrounds rapid hostile activation; the expression foregrounds affective containment. Only material differences are overridden.,"{""emotionalTemperature"":{""value"":""COMPOSED"",""rationale"":""CONTAINED_FURY differs from ANGER's base because the expression foregrounds affective containment; COMPOSED makes that difference operational without changing unrelated fields.""}}"
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_PUNISHED_ANGER_WOUND,ANGER,PUNISHED_ANGER,true,PUNISHED_ANGER was reviewed against all twelve ANGER base dimensions. the expression foregrounds rapid hostile activation. Only material differences are overridden.,{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_RAGE_POWERED_CONFLICT,ANGER,RAGE_POWERED,true,RAGE_POWERED was reviewed against all twelve ANGER base dimensions. the expression foregrounds rapid hostile activation. Only material differences are overridden.,{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ANGER_THREAT_DISPLAY_EXPRESSION,ANGER,THREAT_DISPLAY,true,THREAT_DISPLAY was reviewed against all twelve ANGER base dimensions. the expression specifically depends on conspicuous signaling; the expression foregrounds rapid hostile activation; the expression foregrounds possibility or positive affect. Only material differences are overridden.,"{""loquacity"":{""value"":""TALKATIVE"",""rationale"":""THREAT_DISPLAY differs from ANGER's base because the expression specifically depends on conspicuous signaling; TALKATIVE makes that difference operational without changing unrelated fields.""},""outlookOrientation"":{""value"":""OPTIMISTIC"",""rationale"":""THREAT_DISPLAY differs from ANGER's base because the expression foregrounds possibility or positive affect; OPTIMISTIC makes that difference operational without changing unrelated fields.""},""emotionalTemperature"":{""value"":""JOYFUL"",""rationale"":""THREAT_DISPLAY differs from ANGER's base because the expression foregrounds possibility or positive affect; JOYFUL makes that difference operational without changing unrelated fields.""}}"
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_AMBUSH_FEEDING_EXPRESSION,APPETITE,AMBUSH_FEEDING,true,"AMBUSH_FEEDING was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_EXTRACTION_WOUND,APPETITE,EXTRACTION,true,EXTRACTION was reviewed against all twelve APPETITE base dimensions. the expression foregrounds expected deprivation or unresolved harm. Only material differences are overridden.,"{""outlookOrientation"":{""value"":""PESSIMISTIC"",""rationale"":""EXTRACTION differs from APPETITE's base because the expression foregrounds expected deprivation or unresolved harm; PESSIMISTIC makes that difference operational without changing unrelated fields.""}}"
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_FILTER_FEEDING_EXPRESSION,APPETITE,FILTER_FEEDING,true,"FILTER_FEEDING was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_FORBIDDEN_FOOD_CONFLICT,APPETITE,FORBIDDEN_FOOD,true,"FORBIDDEN_FOOD was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_GORGE_AND_FAST_EXPRESSION,APPETITE,GORGE_AND_FAST,true,"GORGE_AND_FAST was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_GRAZING_EXPRESSION,APPETITE,GRAZING,true,"GRAZING was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_HOST_DEPENDENCE_CONFLICT,APPETITE,HOST_DEPENDENCE,true,"HOST_DEPENDENCE was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_PARASITIC_EXPRESSION,APPETITE,PARASITIC,true,PARASITIC was reviewed against all twelve APPETITE base dimensions. the expression foregrounds exclusive acquisition or self-priority. Only material differences are overridden.,{}
PERSONALITY_PROFILE_DIMENSIONS_V1,APPETITE_UNENDING_HUNGER_CONFLICT,APPETITE,UNENDING_HUNGER,true,"UNENDING_HUNGER was reviewed against all twelve APPETITE base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ATTACHMENT_ANCHOR_PERSON_CONFLICT,ATTACHMENT,ANCHOR_PERSON,true,"ANCHOR_PERSON was reviewed against all twelve ATTACHMENT base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
PERSONALITY_PROFILE_DIMENSIONS_V1,ATTACHMENT_FAMILY_SEPARATION_WOUND,ATTACHMENT,FAMILY_SEPARATION,true,"FAMILY_SEPARATION was reviewed against all twelve ATTACHMENT base dimensions. Its specific wording does not materially reverse a base property, so the family profile remains the most coherent game-semantic resolution.",{}
